PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,3PT_RATING
201939,Stephen Curry,Stephen,1610612744,GSW,36.0,74,43,31,0.581,2421.5383333333334,650,1445,0.45,357,876,0.408,299,324,0.923,37,293,330,379,210,54,28,51,117,269,1956,189,2956.5,7,0,3186.0,87,79,406,205,38,14,7,293,1,1,73,24,32,35,241,75,102,33,13,126,160,499,400,36,10,66,23,84,38,14,411.13599999999997
1629029,Luka Dončić,Luka,1610612742,DAL,25.0,70,46,24,0.657,2624.04,804,1652,0.487,284,744,0.382,478,608,0.786,59,588,647,686,282,99,38,50,149,477,2370,319,4304.4,49,21,4261.0,128,52,282,92,19,3,1,178,2,2,149,4,4,245,159,9,18,3,1,15,108,497,475,4,1,32,2,6,3,1,342.79400000000004
1628978,Donte DiVincenzo,Donte,1610612752,NYK,27.0,81,50,31,0.617,2360.3933333333334,445,1004,0.443,283,705,0.401,86,114,0.754,63,234,297,216,113,107,36,32,166,123,1259,162,2255.4,0,0,2341.0,18,28,406,147,48,63,52,316,3,3,84,165,160,300,138,118,120,104,87,9,122,416,504,127,61,78,70,257,38,53,329.467
202691,Klay Thompson,Klay,1610612744,GSW,34.0,77,41,36,0.532,2284.1683333333335,490,1133,0.432,268,692,0.387,127,137,0.927,35,219,254,176,117,50,35,27,127,91,1375,7,2081.8,0,0,2243.0,54,97,469,284,56,49,34,364,4,4,128,110,132,34,256,135,163,129,82,148,128,382,424,181,40,222,84,257,38,62,320.12899999999996
202331,Paul George,Paul,1610612746,LAC,34.0,74,48,26,0.649,2501.766666666667,582,1236,0.471,243,588,0.413,264,291,0.907,37,351,388,262,153,113,37,55,202,234,1671,461,2826.6,3,0,2864.0,87,36,332,100,31,25,24,220,5,11,60,33,46,46,241,48,74,81,48,4,117,513,548,48,20,9,30,135,38,23,277.1376666666667
203992,Bogdan Bogdanović,Bogdan,1610612737,ATL,31.0,79,35,44,0.443,2401.4083333333333,471,1100,0.428,240,641,0.374,151,164,0.921,53,219,272,247,112,96,26,51,179,127,1333,127,2283.9,1,0,2336.0,30,155,528,364,43,56,36,384,6,5,177,89,108,36,176,135,145,90,88,17,173,499,525,122,50,95,65,190,38,54,293.79133333333334
